iter,env_steps,score,length,achievements,sample,crafter_score,n_unlocked,unlocked_detail
2500,80000,3.58,178.42666666666668,4.546666666666667,4.4,2.684797898442672,10,collect_drink:72;collect_sapling:91;collect_stone:1;collect_wood:65;defeat_zombie:3;eat_cow:7;make_wood_pickaxe:3;place_plant:89;place_table:32;wake_up:92
5000,160000,4.326666666666667,161.98666666666668,5.226666666666667,5.4,3.3949500728369193,8,collect_drink:63;collect_sapling:92;collect_wood:92;eat_cow:5;make_wood_pickaxe:12;place_plant:92;place_table:77;wake_up:89
7500,240000,4.873333333333333,167.05333333333334,5.786666666666667,5.8,3.6583959363414413,11,collect_drink:80;collect_sapling:91;collect_stone:3;collect_wood:96;defeat_zombie:11;eat_cow:7;make_wood_pickaxe:25;place_plant:89;place_stone:1;place_table:85;wake_up:91
10000,320000,5.380000000000001,183.29333333333332,6.32,5.6,4.225116667689806,13,collect_coal:7;collect_drink:85;collect_sapling:80;collect_stone:15;collect_wood:97;defeat_skeleton:1;defeat_zombie:24;eat_cow:5;make_wood_pickaxe:49;place_plant:79;place_stone:1;place_table:93;wake_up:95
12500,400000,6.420000000000002,190.96,7.32,7.2,5.020814494465765,13,collect_coal:11;collect_drink:88;collect_sapling:85;collect_stone:39;collect_wood:99;defeat_skeleton:1;defeat_zombie:31;eat_cow:8;make_wood_pickaxe:67;place_plant:84;place_stone:29;place_table:96;wake_up:95
15000,480000,7.286666666666668,201.77333333333334,8.186666666666667,6.8,6.146916535726837,13,collect_coal:16;collect_drink:93;collect_sapling:87;collect_stone:53;collect_wood:100;defeat_skeleton:1;defeat_zombie:40;eat_cow:12;make_wood_pickaxe:85;place_plant:87;place_stone:53;place_table:95;wake_up:96
17500,560000,7.566666666666668,214.26666666666668,8.48,8.2,6.950094340650545,14,collect_coal:15;collect_drink:84;collect_sapling:93;collect_stone:65;collect_wood:99;defeat_skeleton:7;defeat_zombie:36;eat_cow:7;make_wood_pickaxe:88;place_furnace:4;place_plant:92;place_stone:63;place_table:97;wake_up:99
20000,640000,8.246666666666668,224.76,9.146666666666667,8.8,7.648249278705585,14,collect_coal:17;collect_drink:93;collect_sapling:93;collect_stone:83;collect_wood:100;defeat_skeleton:1;defeat_zombie:41;eat_cow:1;make_wood_pickaxe:93;place_furnace:25;place_plant:92;place_stone:81;place_table:97;wake_up:95
