iter,total,loss_wm,loss_recon,loss_kl,loss_reward,loss_continue,loss_actor,loss_critic,loss_pg,entropy,returns_mean,values_mean,return_scale,p5,p95,reward_per_step,ips,env_steps
1950,4000.0,21.82,18.29,3.43,0.087,0.01,0.012,2.222,0.012,0.26,0.17,0.11,1.51,-0.69,0.82,-0.0016,2.7,62400
2000,4000.0,24.44,21.04,3.28,0.108,0.013,-0.001,1.827,-0.0,0.22,-0.17,-0.17,1.63,-0.68,0.95,0.0025,2.7,64000
2050,4000.0,28.81,24.62,4.03,0.132,0.015,0.002,1.659,0.002,0.22,-0.07,-0.07,1.73,-0.67,1.06,0.0019,2.6,65600
2100,4000.0,36.31,32.0,4.22,0.081,0.016,0.002,1.874,0.002,0.22,0.09,0.04,1.8,-0.7,1.11,-0.0004,2.6,67200
2150,4000.0,21.9,18.28,3.53,0.078,0.012,0.003,1.715,0.003,0.31,-0.04,-0.08,1.83,-0.69,1.13,0.0054,2.6,68800
2200,4000.0,27.69,23.39,4.2,0.076,0.013,-0.0,1.801,-0.0,0.33,-0.01,-0.02,1.88,-0.7,1.18,0.0092,2.6,70400
2250,4000.0,33.5,28.89,4.51,0.078,0.015,0.011,2.228,0.011,0.23,0.35,0.2,1.97,-0.71,1.27,0.0145,2.7,72000
2300,4000.0,22.2,18.56,3.54,0.094,0.01,0.003,1.935,0.003,0.24,0.15,0.07,2.05,-0.72,1.33,0.0075,2.7,73600
2350,4000.0,23.38,19.98,3.31,0.084,0.009,0.0,1.738,0.001,0.25,0.17,0.16,2.15,-0.71,1.44,0.0103,2.7,75200
2400,4000.0,23.87,20.08,3.66,0.116,0.01,0.0,1.689,0.0,0.23,0.06,0.04,2.22,-0.72,1.5,0.0114,2.7,76800
2450,4000.0,22.83,19.06,3.66,0.102,0.016,-0.004,1.698,-0.004,0.21,0.09,0.1,2.23,-0.71,1.51,0.0124,2.7,78400
2500,4000.0,21.17,16.81,4.24,0.11,0.014,0.001,1.724,0.001,0.18,0.21,0.19,2.27,-0.71,1.56,0.0029,2.7,80000
2550,4000.0,25.36,21.73,3.54,0.084,0.009,0.0,1.499,0.0,0.19,-0.08,-0.08,2.27,-0.71,1.55,0.0127,2.6,81600
2600,4000.0,21.99,18.47,3.43,0.082,0.006,-0.002,1.529,-0.002,0.32,0.13,0.13,2.28,-0.71,1.57,0.0054,2.7,83200
2650,4000.0,20.62,16.29,4.19,0.118,0.016,-0.006,1.743,-0.006,0.32,0.21,0.23,2.31,-0.71,1.6,0.0119,2.7,84800
2700,4000.0,25.88,21.37,4.39,0.114,0.009,0.008,1.819,0.008,0.3,0.24,0.17,2.33,-0.7,1.63,0.0016,2.7,86400
2750,4000.0,18.3,14.32,3.86,0.099,0.015,0.01,1.756,0.01,0.42,-0.12,-0.16,2.34,-0.7,1.64,0.0057,2.7,88000
