iter,env_steps,score,length,achievements,sample,n_unlocked,unlocked_detail
500,16000,0.3,161.0,1.2,1.8,3,collect_sapling:100;defeat_zombie:10;eat_cow:10
1000,32000,2.2,147.0,3.2,3.6,5,collect_sapling:100;place_plant:100;wake_up:100;collect_drink:10;defeat_zombie:10
1500,48000,2.3,183.0,3.3,3.2,4,collect_sapling:100;place_plant:100;wake_up:100;collect_wood:30
2000,64000,2.1,208.0,3.0,2.6,4,collect_sapling:100;wake_up:100;place_plant:80;collect_drink:20
2500,80000,1.7,163.0,2.6,3.0,3,collect_sapling:100;wake_up:100;place_plant:60
3000,96000,1.4,164.0,2.3,2.2,3,collect_sapling:100;wake_up:80;place_plant:50
3500,112000,2.5,187.0,3.4,3.6,4,collect_sapling:100;place_plant:100;wake_up:100;collect_wood:40
4000,128000,2.5,169.0,3.4,3.8,5,collect_sapling:100;place_plant:100;wake_up:100;collect_wood:20;eat_cow:20
