env_steps,iter,loss_wm,loss_recon,loss_kl,loss_reward,loss_continue,loss_actor,loss_critic,loss_pg,entropy,returns_mean,values_mean,return_scale,p5,p95,ips,env_reward_per_step,rew_pred_ach,rew_pred_zero,img_rew_max,img_rew_frac_hi
1568,49,257.5243225097656,253.5848846435547,3.0383830070495605,0.8855150938034058,0.015532871708273888,0.31036317348480225,2.744354248046875,0.31070536375045776,1.2745507955551147,0.4865094721317291,0.23144349455833435,1.0,0.15818393230438232,0.5770211219787598,0.734885892757482,-0.0056,,,,
3168,99,132.04354858398438,128.30470275878906,2.872119426727295,0.8474262356758118,0.01929871365427971,0.005592741072177887,2.958789348602295,0.005617295857518911,0.085865817964077,0.4690459370613098,0.3745572865009308,1.0859004259109497,-0.0121327955275774,1.0799638032913208,0.9461847711143481,0.0009000000000000001,,,,
4768,149,81.90838623046875,78.6351547241211,2.5315184593200684,0.717619776725769,0.02409449592232704,-0.002086958847939968,3.2039737701416016,-0.002054253127425909,0.11476659774780273,0.14236174523830414,0.20818687975406647,1.6694490909576416,-0.5378284454345703,1.1323429346084595,1.044590984629781,-0.0054,,,,
6368,199,93.86605072021484,90.55499267578125,2.77567720413208,0.5198087692260742,0.015570513904094696,0.0031738169491291046,3.220658302307129,0.0032096332870423794,0.13189567625522614,0.9242523908615112,0.6150006055831909,3.11716628074646,-0.8974118828773499,2.2286438941955566,1.1060554174215291,0.0058000000000000005,,,,
7968,249,83.29633331298828,80.13101959228516,2.418349266052246,0.725058913230896,0.021901050582528114,-0.0005126743344590068,2.907846450805664,-0.0004800465831067413,0.1133963018655777,0.7174757122993469,0.6738898754119873,3.8372914791107178,-1.2366143465042114,2.598085403442383,1.1441573288954405,0.0038999999999999994,,,,
9568,299,76.16728973388672,72.81439971923828,2.694864273071289,0.6368468999862671,0.02117924764752388,0.001670887810178101,2.553550958633423,0.0016962651861831546,0.08933497220277786,0.7864083051681519,0.6852417588233948,4.239884376525879,-1.4497908353805542,2.790330648422241,1.1715907543701511,0.0015999999999999996,,,,
11168,349,76.33512878417969,73.24537658691406,2.5847437381744385,0.49538713693618774,0.00961921364068985,-0.0011018284130841494,2.687225341796875,-0.0010745692998170853,0.09825625270605087,0.26739779114723206,0.27370530366897583,5.016190528869629,-1.6347439289093018,3.387018918991089,1.192208542801451,0.0039000000000000003,,,,
12768,399,59.36153030395508,56.02092742919922,2.668041229248047,0.6413311958312988,0.03123280219733715,0.001569006941281259,2.7909488677978516,0.0016078860498964787,0.14021331071853638,0.7077460885047913,0.6133432984352112,5.202060699462891,-1.6753754615783691,3.5250015258789062,1.2077571846506863,0.005799999999999999,,,,
14368,449,57.77865219116211,54.14276885986328,3.0661749839782715,0.5505801439285278,0.01913033239543438,0.0032931172754615545,3.0404224395751953,0.003332899883389473,0.14114585518836975,1.3868764638900757,1.2088741064071655,5.865096092224121,-1.1872503757476807,4.684885501861572,1.2192277224979253,0.0014999999999999996,,,,
15968,499,51.960689544677734,47.79999542236328,3.5973172187805176,0.548163652420044,0.015213672071695328,0.003296756651252508,2.9317116737365723,0.0033450517803430557,0.16960524022579193,1.6869049072265625,1.3957555294036865,7.006438255310059,-1.4279192686080933,5.582944393157959,1.2293640084361648,-0.0005,,,,
17568,549,59.84855651855469,55.552249908447266,3.685000419616699,0.5870952606201172,0.024208582937717438,0.0005623621982522309,2.9424407482147217,0.0006119391764514148,0.17511261999607086,1.8129326105117798,1.6818981170654297,7.008082866668701,-1.6256026029586792,5.390867710113525,1.2361706161575479,0.0024,,,,
19168,599,39.97480010986328,36.1988525390625,3.308607578277588,0.4507204294204712,0.016615774482488632,-0.0009225435787811875,2.6840591430664062,-0.0008574596140533686,0.2258397340774536,2.1178677082061768,2.1174347400665283,7.379952907562256,-1.3342214822769165,6.044881820678711,1.2444542962371479,0.011699999999999999,,,,
20768,649,51.46492004394531,47.43547058105469,3.5965301990509033,0.41723012924194336,0.015690652653574944,-0.0017131922068074346,2.612194538116455,-0.001640914473682642,0.2533726394176483,2.236034870147705,2.3000504970550537,7.535096168518066,-1.533609390258789,6.00682258605957,1.2491219787975252,0.006700000000000001,,,,
22368,699,45.64522933959961,41.455326080322266,3.850942611694336,0.3251965641975403,0.01376645639538765,-0.00279271905310452,2.7886857986450195,-0.0027165720239281654,0.2646610140800476,1.1126368045806885,1.1677392721176147,7.6955976486206055,-1.672363042831421,6.0299811363220215,1.255724868448948,0.0068000000000000005,,,,
23968,749,39.63172912597656,35.63081741333008,3.6061267852783203,0.37754783034324646,0.0172333512455225,-0.001478357706218958,2.616300106048584,-0.0013959738425910473,0.2889730930328369,0.9702066779136658,0.9768979549407959,7.783200263977051,-1.7331622838974,6.052504062652588,1.2593849002227495,0.0035,,,,
25568,799,40.44578170776367,36.19016647338867,3.7661080360412598,0.47466328740119934,0.01484227366745472,0.0005042303819209337,2.829437732696533,0.0005797807243652642,0.26066699624061584,1.4079023599624634,1.3621422052383423,7.685811996459961,-1.656122088432312,6.016167163848877,1.2627845932523425,0.004399999999999999,,,,
27168,849,42.06836700439453,36.99431228637695,4.508533477783203,0.546592116355896,0.01892930082976818,0.004758076276630163,2.297907829284668,0.004883480258285999,0.44197502732276917,1.5911853313446045,1.4604183435440063,7.337737083435059,-1.4263837337493896,5.918900489807129,1.265594479705827,0.0104,,,,
