env_steps,iter,loss_wm,loss_recon,loss_kl,loss_reward,loss_continue,loss_actor,loss_critic,loss_pg,entropy,returns_mean,values_mean,return_scale,p5,p95,ips,env_reward_per_step,rew_pred_ach,rew_pred_zero,img_rew_max,img_rew_frac_hi
1568,49,132.7119140625,130.08120727539062,2.407233238220215,0.20507338643074036,0.018403884023427963,0.09560471028089523,2.577578544616699,0.09624895453453064,2.3079588413238525,0.07762754708528519,0.032938629388809204,1.0,-0.02361510694026947,0.053298380225896835,0.945639214050493,0.010199999999999999,,,,
3168,99,70.81341552734375,68.16605377197266,2.3932337760925293,0.21623046696186066,0.0378945916891098,0.011513350531458855,3.4896764755249023,0.011539444327354431,0.093142569065094,0.18895354866981506,0.04353168606758118,1.0,-0.016725316643714905,0.10275544226169586,1.2533595198155747,0.0007999999999999996,,,,
4768,149,53.26631164550781,50.3360481262207,2.7215826511383057,0.18299293518066406,0.025687510147690773,-0.009947394952178001,1.7018496990203857,-0.009828277863562107,0.4264134168624878,0.03485780954360962,0.0470440499484539,1.0,-0.044558458030223846,0.14848236739635468,1.4076403111286528,0.0028000000000000004,,,,
6368,199,51.86540222167969,49.09608840942383,2.5695674419403076,0.1759161651134491,0.02383146435022354,0.0011189867509528995,1.9787315130233765,0.0011410287115722895,0.07994578033685684,0.06636454164981842,0.05708823353052139,1.0,-0.0686941146850586,0.1577409952878952,1.4976957439300442,0.0032,,,,
7968,249,31.961284637451172,29.221826553344727,2.587984561920166,0.13008393347263336,0.021391691640019417,0.0001266068429686129,1.6342427730560303,0.0001497521880082786,0.07998912036418915,0.05310599505901337,0.05108041688799858,1.0,-0.08959659934043884,0.16598130762577057,1.557489288102199,0.0015999999999999996,,,,
9568,299,32.171478271484375,29.1522216796875,2.826775312423706,0.16509462893009186,0.027386333793401718,0.0019147947896271944,1.9193506240844727,0.001937531284056604,0.08029551804065704,0.08704821765422821,0.043648410588502884,1.0,-0.12084507942199707,0.1791614443063736,1.604192311761192,0.0036999999999999997,,,,
11168,349,32.603271484375,29.390005111694336,3.0223920345306396,0.16428402066230774,0.02659119851887226,0.0025290967896580696,1.6955540180206299,0.0025518671609461308,0.08008389174938202,0.08471440523862839,0.050863392651081085,1.0,-0.16173546016216278,0.2389301061630249,1.638018378280771,0.0034000000000000002,,,,
12768,399,24.870019912719727,21.836299896240234,2.8713409900665283,0.14831310510635376,0.014065652154386044,0.00018400517001282424,1.5808742046356201,0.00020643073366954923,0.08039576560258865,0.035663675516843796,0.04552597180008888,1.0,-0.19577562808990479,0.27141863107681274,1.6628249828521213,0.0034999999999999996,,,,
14368,449,25.914377212524414,22.60747528076172,3.191190719604492,0.10680680721998215,0.008904114365577698,0.01994682289659977,2.0006508827209473,0.02004271000623703,0.32835888862609863,0.20580586791038513,0.0857357531785965,1.0,-0.2247166931629181,0.36965179443359375,1.6840617692212583,0.0085,,,,
15968,499,32.96884536743164,29.02838897705078,3.7583374977111816,0.15782667696475983,0.024291250854730606,0.01577676832675934,2.1265296936035156,0.01583356410264969,0.1996290534734726,0.3400340974330902,0.21196335554122925,1.0,-0.2513636350631714,0.6371591091156006,1.7023936392364223,0.0087,,,,
