iter,total,loss_wm,loss_recon,loss_kl,loss_reward,loss_continue,loss_actor,loss_critic,loss_pg,entropy,returns_mean,values_mean,return_scale,p5,p95,reward_per_step,ips,env_steps
2050,8000.0,27.54,22.24,5.12,0.161,0.019,-0.004,1.496,-0.004,0.61,1.01,1.02,2.85,-0.36,2.49,0.02,2.6,65600
2100,8000.0,31.35,25.79,5.41,0.127,0.018,-0.009,1.613,-0.009,0.55,0.95,0.99,2.88,-0.36,2.52,0.0128,2.7,67200
2150,8000.0,25.55,20.45,4.96,0.123,0.018,-0.008,1.791,-0.007,0.6,0.78,0.81,2.9,-0.36,2.54,0.0173,2.7,68800
2200,8000.0,32.72,27.17,5.4,0.137,0.009,0.002,1.8,0.002,0.55,1.0,0.95,2.89,-0.36,2.53,0.0116,2.7,70400
2250,8000.0,31.91,25.89,5.83,0.178,0.017,0.007,1.879,0.007,0.53,1.19,1.13,2.92,-0.37,2.55,0.0202,2.7,72000
2300,8000.0,32.97,27.19,5.6,0.16,0.019,-0.014,1.701,-0.014,0.68,0.87,0.92,2.92,-0.37,2.55,0.0106,2.7,73600
2350,8000.0,27.37,22.47,4.8,0.097,0.01,-0.004,1.925,-0.003,0.65,0.72,0.72,2.91,-0.37,2.54,0.0194,2.7,75200
2400,8000.0,21.18,16.14,4.92,0.114,0.008,-0.015,1.849,-0.015,0.58,0.56,0.64,2.93,-0.38,2.55,0.0142,2.7,76800
2450,8000.0,29.9,24.73,5.0,0.149,0.019,-0.005,1.669,-0.004,0.66,0.76,0.78,2.9,-0.37,2.53,0.0183,2.8,78400
2500,8000.0,27.71,21.78,5.81,0.111,0.008,-0.009,1.79,-0.009,0.56,0.71,0.75,2.91,-0.38,2.53,0.0131,2.8,80000
2550,8000.0,22.59,16.9,5.51,0.169,0.012,0.001,1.741,0.001,0.59,0.79,0.77,2.88,-0.37,2.51,0.0111,2.7,81600
2600,8000.0,28.6,22.76,5.78,0.058,0.004,-0.003,1.642,-0.003,0.74,0.59,0.61,2.86,-0.38,2.47,0.0135,2.7,83200
2650,8000.0,27.15,21.09,5.87,0.162,0.018,0.0,1.726,0.001,0.7,0.81,0.81,2.83,-0.38,2.45,0.0114,2.7,84800
2700,8000.0,25.18,20.16,4.91,0.099,0.012,-0.008,1.83,-0.008,0.62,0.53,0.55,2.81,-0.4,2.42,0.0172,2.7,86400
2750,8000.0,24.15,18.97,5.08,0.096,0.008,-0.0,1.92,-0.0,0.52,0.29,0.28,2.77,-0.4,2.37,0.022,2.7,88000
2800,8000.0,27.93,22.13,5.67,0.124,0.008,-0.001,1.838,-0.001,0.52,0.68,0.67,2.75,-0.4,2.35,0.0111,2.8,89600
2850,8000.0,29.68,22.96,6.52,0.179,0.016,-0.001,1.854,-0.001,0.6,0.48,0.47,2.75,-0.41,2.33,0.0145,2.8,91200
2900,8000.0,26.79,20.51,6.11,0.155,0.014,-0.001,1.705,-0.0,0.59,0.92,0.91,2.72,-0.42,2.3,0.0128,2.8,92800
2950,8000.0,34.24,27.78,6.29,0.153,0.013,-0.004,1.739,-0.004,0.64,0.66,0.67,2.72,-0.42,2.31,0.0124,2.8,94400
