env_steps,iter,loss_wm,loss_recon,loss_kl,loss_reward,loss_continue,loss_actor,loss_critic,loss_pg,entropy,returns_mean,values_mean,return_scale,p5,p95,ips,env_reward_per_step,rew_pred_ach,rew_pred_zero,img_rew_max,img_rew_frac_hi
1568,49,144.49620056152344,141.61016845703125,2.2366268634796143,0.636533796787262,0.012865157797932625,1.8427823781967163,3.5326523780822754,1.8435434103012085,2.73700213432312,1.543335199356079,0.8300707936286926,1.0,0.47223275899887085,1.2123507261276245,0.7768672905191101,0.012199999999999999,,,,
3168,99,79.22602844238281,76.42793273925781,2.2528934478759766,0.5230002999305725,0.02220000885426998,0.36395424604415894,1.9877251386642456,0.36472225189208984,2.72724986076355,1.7756993770599365,1.6187533140182495,1.1733540296554565,1.035414218902588,2.2066705226898193,0.9759392452280664,0.0047,,,,
4768,149,81.0512466430664,77.3096923828125,3.1322884559631348,0.5775652527809143,0.03170220926403999,-0.002635425888001919,2.2599849700927734,-0.0018822569400072098,2.7211272716522217,1.5734258890151978,1.5893962383270264,2.3569934368133545,0.3831683397293091,2.7438504695892334,1.0685201421573962,0.0021999999999999993,,,,
6368,199,70.75897216796875,66.94558715820312,3.4151482582092285,0.3825267553329468,0.01571064628660679,0.018948202952742577,2.246213912963867,0.019716208800673485,2.7076709270477295,2.0923383235931396,2.073552131652832,3.4267985820770264,-0.03759454935789108,3.3934967517852783,1.119106833904625,0.0038000000000000004,,,,
7968,249,46.568092346191406,42.63645935058594,3.528780937194824,0.38286054134368896,0.019987473264336586,0.012588538229465485,2.309070110321045,0.013318035751581192,2.70125150680542,1.8236429691314697,1.8133999109268188,3.9330177307128906,-0.29383787512779236,3.6444270610809326,1.1547045155946305,0.0074,,,,
9568,299,45.911563873291016,41.94867706298828,3.5907320976257324,0.34654831886291504,0.0256052128970623,0.005124008748680353,2.455674171447754,0.005895434413105249,2.705233573913574,1.7643835544586182,1.756230115890503,4.271977424621582,-0.3722596764564514,3.9023685455322266,1.178838694449809,0.0044,,,,
11168,349,43.32756423950195,38.96317672729492,4.054266929626465,0.2919432520866394,0.018175875768065453,-0.0705304965376854,2.3650765419006348,-0.06975555419921875,2.7029831409454346,0.8991702795028687,1.0157808065414429,4.323487758636475,-0.4421996772289276,3.878746509552002,1.1982900840737718,0.0094,,,,
12768,399,41.8575325012207,37.49919891357422,3.993351697921753,0.3466178774833679,0.018364742398262024,-0.07305268198251724,2.373727321624756,-0.07228010892868042,2.706784963607788,1.1443507671356201,1.254729986190796,4.038999557495117,-0.4283190667629242,3.604581356048584,1.212867887356368,0.0087,,,,
14368,449,44.99195098876953,40.18827819824219,4.398954391479492,0.39699673652648926,0.007722451351583004,0.11510095000267029,2.830047845840454,0.1158771812915802,2.7091522216796875,0.9808710813522339,0.816085696220398,3.7197608947753906,-0.505113959312439,3.2212493419647217,1.2246481223518515,0.0096,,,,
15968,499,33.2110481262207,29.250167846679688,3.6845593452453613,0.25794145464897156,0.018378790467977524,-0.02619349956512451,2.3523192405700684,-0.025424640625715256,2.703418254852295,0.9263206720352173,0.9580681324005127,3.3149030208587646,-0.5642635226249695,2.747514247894287,1.2333345014758048,0.0112,,,,
17568,549,38.15876388549805,33.51949691772461,4.3004255294799805,0.3150455057621002,0.023797128349542618,-0.07010038197040558,2.257781744003296,-0.06933338195085526,2.698214054107666,0.6980610489845276,0.780888020992279,3.155531883239746,-0.6571759581565857,2.4942615032196045,1.2407014920670256,0.0039000000000000003,,,,
19168,599,36.37824630737305,31.671552658081055,4.41431999206543,0.2728499174118042,0.019523119553923607,-0.04179222136735916,2.232593059539795,-0.041019488126039505,2.702925682067871,0.4536149799823761,0.49771517515182495,3.0281484127044678,-0.7339882850646973,2.2910072803497314,1.2466129572420417,0.0063999999999999994,,,,
20768,649,34.1279411315918,29.672565460205078,4.191298961639404,0.24593298137187958,0.0181436687707901,-0.04287275671958923,2.381786346435547,-0.04210154712200165,2.7071850299835205,0.25302648544311523,0.2975924611091614,2.8960862159729004,-0.8190237283706665,2.073915719985962,1.2518803683974875,0.0070999999999999995,,,,
22368,699,31.804729461669922,27.208141326904297,4.29287576675415,0.2902853786945343,0.013427636586129665,0.005458620842546225,2.2110347747802734,0.006239902228116989,2.704482078552246,0.35441887378692627,0.34633392095565796,2.9166970252990723,-0.9281280040740967,1.9883910417556763,1.256665414074326,0.001,,,,
23968,749,37.154476165771484,32.551551818847656,4.403815269470215,0.19267655909061432,0.006433360278606415,-0.006232903804630041,2.154667377471924,-0.005518163554370403,2.6926631927490234,0.16794705390930176,0.17188222706317902,2.7604761123657227,-0.9931384921073914,1.763998031616211,1.2602056570504583,0.004900000000000001,,,,
25568,799,34.48604965209961,29.484453201293945,4.66569709777832,0.3234037160873413,0.012495887465775013,0.0997176393866539,2.669750213623047,0.10049723088741302,2.7048494815826416,0.23279030621051788,0.1307683140039444,2.696533679962158,-1.080302119255066,1.6227023601531982,1.2643499974286028,0.0086,,,,
